Name,Arquivos e mídia,Arquivos e mídia 1,Assign,Data,Status
30 conteúdos prontos em Estoque,,,Arthur Ferreira -OSP,30/04/2025,Concluído
Primeira gravação,,,"OSP Mkt, Jonas Osp, Arthur Ferreira -OSP",21/03/2025,Concluído
Apresentação - Estratégia de Conteúdo,,,"OSP Mkt, Arthur Ferreira -OSP",,Concluído
Apresentar Produtos e ICP,,,OSP Mkt,,Concluído
Produzir 03 Roteiros,,,"Arthur Ferreira -OSP, OSP Mkt",20/03/2025 16:00 (BRT),Concluído
Onboarding,,,OSP Mkt,,Concluído
Email OSP do Arthur,,,,,Concluído
Integrar Notion e Drive,,,OSP Mkt,,Concluído
Estratégia de Conteúdo,,,OSP Mkt,,Concluído
Configuração do sistema,,,OSP Mkt,,Concluído
Passar os acessos das redes sociais para o Arthur,,,OSP Mkt,,Concluído
Definir calendário de publicação,,,,02/05/2025,Concluído
Atualizar o Sobre Nós,,,,,Não iniciado
Atualizar o modelo de Propostas,,,,,Não iniciado
"Criar planejamento e roteiros das Redes Sociais ",,,,,Não iniciado
Atualizar as fotos para materiais institucionais e website,,,"Juliana, OSP Mkt",26/09/2025,Em andamento
,,,,,Não iniciado
